name	x	y	z	label_10_20	region
E1	6.961999893188477	5.381999969482422	-2.190999984741211	n/a	scalp
E2	6.484000205993651	6.403999805450439	-0.1400000005960465	F8	scalp
E3	5.698999881744386	7.208000183105468	1.791000008583069	n/a	scalp
E4	4.810999870300293	7.77299976348877	3.650000095367432	n/a	scalp
E5	3.619999885559082	7.478000164031982	5.508999824523925	F2	scalp
E6	2.253000020980837	6.461999893188477	6.962999820709228	n/a	scalp
E7	1.189000010490418	5.217999935150146	8.133999824523926	n/a	scalp
E8	2.201914918004915e-16	3.595999956130981	8.75100040435791	n/a	scalp
E9	-1.152999997138978	1.514000058174134	9.199000358581543	n/a	scalp
E10	5.940000057220458	7.382999897003175	-1.514999985694886	AF8	scalp
E11	5.076000213623046	8.373000144958496	0.4059999883174896	n/a	scalp
E12	3.878999948501587	9.036000251770021	2.516000032424927	AF4	scalp
E13	2.608000040054321	8.979000091552733	4.390999794006349	n/a	scalp
E14	1.23300004005432	8.116000175476074	6.061999797821046	n/a	scalp
E15	4.171146874096979e-16	6.811999797821044	7.282000064849854	FCz	scalp
E16	-1.189000010490417	5.217999935150146	8.133999824523926	n/a	scalp
E17	-2.296000003814697	2.914000034332275	8.557999610900879	n/a	scalp
E18	4.06500005722046	9.406000137329102	-0.8909999728202821	Fp2	scalp
E19	2.868000030517578	10.01500034332275	0.8519999980926515	n/a	scalp
E20	1.422000050544739	10.0629997253418	2.848000049591064	n/a	scalp
E21	5.757676851444772e-16	9.402999877929688	4.657999992370605	Fz	scalp
E22	-1.233000040054321	8.116000175476074	6.061999797821046	n/a	scalp
E23	-2.253000020980836	6.461999893188477	6.962999820709228	n/a	scalp
E24	-3.345000028610229	4.408999919891358	7.672999858856201	FC1	scalp
E25	1.394999980926511	10.65299987792969	-0.6110000014305114	n/a	scalp
E26	6.545736884501479e-16	10.6899995803833	1.004999995231628	Fpz	scalp
E27	-1.42200005054474	10.0629997253418	2.848000049591064	n/a	scalp
E28	-2.608000040054322	8.979000091552733	4.390999794006349	n/a	scalp
E29	-3.619999885559083	7.478000164031982	5.508999824523925	F1	scalp
E30	-4.498000144958499	5.593999862670895	6.288000106811523	n/a	scalp
E31	6.468584472514485e-16	10.56400012969971	-2.051000118255615	n/a	scalp
E32	-1.394999980926515	10.65299987792969	-0.6110000014305114	n/a	scalp
E33	-2.868000030517579	10.01500034332275	0.8519999980926515	n/a	scalp
E34	-3.878999948501586	9.036000251770021	2.516000032424927	AF3	scalp
E35	-4.810999870300292	7.77299976348877	3.650000095367432	n/a	scalp
E36	-5.105000019073488	6.415999889373781	4.777999877929688	F3	scalp
E37	-4.065000057220461	9.406000137329102	-0.8909999728202821	Fp1	scalp
E38	-5.07600021362305	8.373000144958494	0.4059999883174896	n/a	scalp
E39	-5.698999881744386	7.208000183105468	1.791000008583069	n/a	scalp
E40	-6.170000076293945	6.11299991607666	3.296000003814697	n/a	scalp
E41	-6.013999938964842	4.93900012969971	4.857999801635743	n/a	scalp
E42	-5.339000225067139	3.802000045776367	6.327000141143799	FC3	scalp
E43	-4.640999794006349	2.572000026702878	7.508999824523925	n/a	scalp
E44	-3.536999940872191	1.070999979972838	8.473999977111816	C1	scalp
E45	-1.995000004768374	-0.6100000143051159	9.288999557495117	n/a	scalp
E46	-5.940000057220462	7.382999897003172	-1.514999985694886	AF7	scalp
E47	-6.484000205993651	6.403999805450439	-0.1400000005960465	F7	scalp
E48	-6.974999904632569	5.35099983215332	1.307000041007995	F5	scalp
E49	-7.100999832153319	4.232999801635743	2.918999910354614	FC5	scalp
E50	-6.866000175476073	3.161999940872191	4.76800012588501	n/a	scalp
E51	-6.113999843597414	1.94200003147125	6.23799991607666	n/a	scalp
E52	-5.314000129699706	0.601000010967253	7.487999916076662	n/a	scalp
E53	-3.723999977111817	-1.146000027656556	8.586999893188477	n/a	scalp
E54	-6.961999893188477	5.381999969482421	-2.190999984741211	n/a	scalp
E55	-7.315999984741211	4.372000217437741	-0.6110000014305115	n/a	scalp
E56	-7.664000034332275	3.296000003814695	1.044000029563904	n/a	scalp
E57	-7.624000072479248	2.302000045776367	2.818000078201294	n/a	scalp
E58	-7.366000175476075	1.34399998188019	4.604000091552734	n/a	scalp
E59	-6.703000068664552	0.05999999865889464	6.239999771118165	C3	scalp
E60	-5.403999805450439	-1.611999988555908	7.473000049591064	n/a	scalp
E61	-7.540999889373779	3.052999973297118	-2.519000053405762	n/a	scalp
E62	-7.770999908447266	2.062999963760376	-0.8069999814033511	FT7	scalp
E63	-7.968999862670898	1.207000017166139	0.9729999899864198	n/a	scalp
E64	-8.065999984741211	0.4009999930858598	2.786000013351441	C5	scalp
E65	-7.607999801635742	-0.5680000185966501	4.598999977111816	n/a	scalp
E66	-6.81599998474121	-1.945000052452087	5.931000232696533	CP3	scalp
E67	-7.692999839782716	1.740000009536745	-4.182000160217285	FT9	face
E68	-7.744999885559083	1.052999973297119	-2.470999956130981	T9	scalp
E69	-7.938000202178956	0.07199999690055617	-0.9700000286102296	T3-T7	scalp
E70	-7.988999843597411	-0.7519999742507942	0.8420000076293948	n/a	scalp
E71	-8.059000015258787	-1.503000020980835	2.767999887466431	n/a	scalp
E72	-7.564000129699705	-2.311000108718876	4.302999973297119	n/a	scalp
E73	-7.526000022888184	0.7310000061988798	-5.960000038146974	n/a	face
E74	-7.76800012588501	-1.840999960899349	-0.9269999861717224	n/a	scalp
E75	-7.793000221252441	-2.732000112533571	1.100000023841858	n/a	scalp
E76	-7.461999893188476	-3.493000030517581	2.959000110626221	CP5	scalp
E77	-6.868999958038329	-3.793999910354615	4.894000053405762	n/a	scalp
E78	-5.652999877929688	-3.845999956130977	6.520999908447267	n/a	scalp
E79	-4.125000000000002	-3.54800009727478	7.953999996185302	CP1	scalp
E80	-2.236000061035155	-2.957999944686889	8.925000190734863	n/a	scalp
E81	1.186682726183415e-16	-1.937999963760376	9.458999633789062	CPz	scalp
E82	-7.127999782562255	-0.4920000135898594	-7.348999977111817	n/a	face
E83	-7.379000186920164	-3.496999979019166	-2.183000087738037	n/a	scalp
E84	-7.521999835968018	-3.700000047683717	-0.5139999985694885	TP7	scalp
E85	-7.151999950408936	-4.710999965667724	1.51800000667572	n/a	scalp
E86	-6.487999916076658	-5.157999992370606	3.473000049591064	P5	scalp
E87	-5.531000137329102	-5.461999893188476	5.501999855041503	P3	scalp
E88	-4.038000106811523	-5.23799991607666	7.045000076293946	P1	scalp
E89	-2.295000076293945	-4.877999782562255	8.272000312805176	n/a	scalp
E90	2.291314224272064e-16	-3.742000102996825	9.027999877929688	n/a	scalp
E91	-6.826000213623048	-1.863999962806703	-8.694000244140625	n/a	face
E92	-6.739999771118163	-2.848000049591065	-6.747000217437743	n/a	neck
E93	-6.783999919891356	-4.018000125885012	-5.018000125885011	n/a	neck
